location,Jardim de Belém
lat,38.75000
lon,-9.00000
asl,70.106
variable,Precipitation Total
unit,mm
level,sfc
resolution,hourly
aggregation,None
timestamp,Jardim de Belém Precipitation Total
20230130T0300,0.0
20230130T0400,0.0
20230130T0500,0.0
20230130T0600,0.0
20230130T0700,0.0
20230130T0800,0.0
20230130T0900,0.0
20230130T1000,0.0
20230130T1100,0.0
20230130T1200,0.0
20230130T1300,0.0
20230130T1400,0.0
20230130T1500,0.0
20230130T1600,0.0
20230130T1700,0.0
20230130T1800,0.0
20230130T1900,0.0
20230130T2000,0.0
20230130T2100,0.0
20230130T2200,0.0
20230130T2300,0.0
20230131T0000,0.0
20230131T0100,0.0
20230131T0200,0.0
20230131T0300,0.0
20230131T0400,0.0
20230131T0500,0.0
20230131T0600,0.0
20230131T0700,0.0
20230131T0800,0.0
20230131T0900,0.0
20230131T1000,0.0
20230131T1100,0.0
20230131T1200,0.0
20230131T1300,0.0
20230131T1400,0.0
20230131T1500,0.0
20230131T1600,0.0
20230131T1700,0.0
20230131T1800,0.0
20230131T1900,0.0
20230131T2000,0.0
20230131T2100,0.0
20230131T2200,0.0
20230131T2300,0.0
20230201T0000,0.0
20230201T0100,0.0
20230201T0200,0.0
20230201T0300,0.0
20230201T0400,0.0
20230201T0500,0.0
20230201T0600,0.0
20230201T0700,0.0
20230201T0800,0.0
20230201T0900,0.0
20230201T1000,0.0
20230201T1100,0.0
20230201T1200,0.0
20230201T1300,0.0
20230201T1400,0.0
20230201T1500,0.0
20230201T1600,0.0
20230201T1700,0.0
20230201T1800,0.0
20230201T1900,0.0
20230201T2000,0.0
20230201T2100,0.0
20230201T2200,0.0
20230201T2300,0.0
20230202T0000,0.0
20230202T0100,0.0
20230202T0200,0.0
20230202T0300,0.0
20230202T0400,0.0
20230202T0500,0.0
20230202T0600,0.0
20230202T0700,0.0
20230202T0800,0.0
20230202T0900,0.0
20230202T1000,0.0
20230202T1100,0.0
20230202T1200,0.0
20230202T1300,0.0
20230202T1400,0.0
20230202T1500,0.0
20230202T1600,0.0
20230202T1700,0.0
20230202T1800,0.0
20230202T1900,0.0
20230202T2000,0.0
20230202T2100,0.0
20230202T2200,0.0
20230202T2300,0.0
20230203T0000,0.0
20230203T0100,0.0
20230203T0200,0.0
20230203T0300,0.0
20230203T0400,0.0
20230203T0500,0.0
20230203T0600,0.0
20230203T0700,0.0
20230203T0800,0.0
20230203T0900,0.0
20230203T1000,0.0
20230203T1100,0.0
20230203T1200,0.0
20230203T1300,0.0
20230203T1400,0.0
20230203T1500,0.0
20230203T1600,0.0
20230203T1700,0.0
20230203T1800,0.0
20230203T1900,0.0
20230203T2000,0.0
20230203T2100,0.0
20230203T2200,0.0
20230203T2300,0.0
20230204T0000,0.0
20230204T0100,0.0
20230204T0200,0.0
20230204T0300,0.0
20230204T0400,0.0
20230204T0500,0.0
20230204T0600,0.0
20230204T0700,0.0
20230204T0800,0.0
20230204T0900,0.0
20230204T1000,0.0
20230204T1100,0.0
20230204T1200,0.0
20230204T1300,0.0
20230204T1400,0.0
20230204T1500,0.0
20230204T1600,0.0
20230204T1700,0.0
20230204T1800,0.0
20230204T1900,0.0
20230204T2000,0.0
20230204T2100,0.0
20230204T2200,0.0
20230204T2300,0.0
20230205T0000,0.0
20230205T0100,0.0
20230205T0200,0.0
20230205T0300,0.0
20230205T0400,0.0
20230205T0500,0.0
20230205T0600,0.0
20230205T0700,0.0
20230205T0800,0.0
20230205T0900,0.0
20230205T1000,0.0
20230205T1100,0.0
20230205T1200,0.0
20230205T1300,0.0
20230205T1400,0.0
20230205T1500,0.0
20230205T1600,0.0
20230205T1700,0.0
20230205T1800,0.0
20230205T1900,0.0
20230205T2000,0.0
20230205T2100,0.0
20230205T2200,0.0
20230205T2300,0.0
20230206T0000,0.0
20230206T0100,0.0
20230206T0200,0.0
20230206T0300,0.0
20230206T0400,0.0
20230206T0500,0.0
20230206T0600,0.0
20230206T0700,0.0
20230206T0800,0.0
20230206T0900,0.0
20230206T1000,0.0
20230206T1100,0.0
20230206T1200,0.0
20230206T1300,0.0
20230206T1400,0.0
20230206T1500,0.0
20230206T1600,0.0
20230206T1700,0.0
20230206T1800,0.0
20230206T1900,0.0
20230206T2000,0.0
20230206T2100,0.0
20230206T2200,0.0
20230206T2300,0.0
20230207T0000,0.0
20230207T0100,0.0
20230207T0200,0.0
20230207T0300,0.0
20230207T0400,0.0
20230207T0500,0.0
20230207T0600,0.0
20230207T0700,0.0
20230207T0800,0.0
20230207T0900,0.0
20230207T1000,0.0
20230207T1100,0.0
20230207T1200,0.0
20230207T1300,0.0
20230207T1400,0.0
20230207T1500,0.0
20230207T1600,0.0
20230207T1700,0.0
20230207T1800,0.0
20230207T1900,0.0
20230207T2000,0.0
20230207T2100,0.0
20230207T2200,0.0
20230207T2300,0.0
20230208T0000,0.0
20230208T0100,0.0
20230208T0200,0.1
20230208T0300,0.2
20230208T0400,0.4
20230208T0500,0.6
20230208T0600,0.6
20230208T0700,0.4
20230208T0800,1.0
20230208T0900,1.1
20230208T1000,1.0
20230208T1100,0.7
20230208T1200,0.6
20230208T1300,0.2
20230208T1400,0.2
20230208T1500,0.6
20230208T1600,1.4
20230208T1700,0.8
20230208T1800,1.0
20230208T1900,0.6
20230208T2000,0.3
20230208T2100,0.3
20230208T2200,0.0
20230208T2300,0.0
20230209T0000,0.0
20230209T0100,0.0
20230209T0200,0.0
20230209T0300,0.0
20230209T0400,0.0
20230209T0500,0.0
20230209T0600,0.0
20230209T0700,0.0
20230209T0800,0.0
20230209T0900,0.0
20230209T1000,0.0
20230209T1100,0.0
20230209T1200,0.0
20230209T1300,0.0
20230209T1400,0.0
20230209T1500,0.0
20230209T1600,0.0
20230209T1700,0.0
20230209T1800,0.0
20230209T1900,0.0
20230209T2000,0.0
20230209T2100,0.0
20230209T2200,0.0
20230209T2300,0.0
20230210T0000,0.0
20230210T0100,0.0
20230210T0200,0.0
20230210T0300,0.0
20230210T0400,0.0
20230210T0500,0.0
20230210T0600,0.0
20230210T0700,0.0
20230210T0800,0.0
20230210T0900,0.0
20230210T1000,0.0
20230210T1100,0.0
20230210T1200,0.0
20230210T1300,0.0
20230210T1400,0.0
20230210T1500,0.0
20230210T1600,0.0
20230210T1700,0.0
20230210T1800,0.0
20230210T1900,0.0
20230210T2000,0.0
20230210T2100,0.0
20230210T2200,0.0
20230210T2300,0.0
20230211T0000,0.0
20230211T0100,0.0
20230211T0200,0.0
20230211T0300,0.0
20230211T0400,0.0
20230211T0500,0.0
20230211T0600,0.0
20230211T0700,0.0
20230211T0800,0.0
20230211T0900,0.0
20230211T1000,0.0
20230211T1100,0.0
20230211T1200,0.0
20230211T1300,0.0
20230211T1400,0.0
20230211T1500,0.0
20230211T1600,0.0
20230211T1700,0.0
20230211T1800,0.0
20230211T1900,0.0
20230211T2000,0.0
20230211T2100,0.0
20230211T2200,0.0
20230211T2300,0.0
20230212T0000,0.0
20230212T0100,0.0
20230212T0200,0.0
20230212T0300,0.0
20230212T0400,0.0
20230212T0500,0.0
20230212T0600,0.0
20230212T0700,0.0
20230212T0800,0.0
20230212T0900,0.0
20230212T1000,0.0
20230212T1100,0.0
20230212T1200,0.0
20230212T1300,0.0
20230212T1400,0.1
20230212T1500,0.2
20230212T1600,0.2
20230212T1700,0.3
20230212T1800,0.0
20230212T1900,0.0
20230212T2000,0.0
20230212T2100,0.0
20230212T2200,0.0
20230212T2300,0.0
20230213T0000,0.0
20230213T0100,0.0
20230213T0200,0.0
20230213T0300,0.0
20230213T0400,0.0
20230213T0500,0.0
20230213T0600,0.0
20230213T0700,0.0
20230213T0800,0.0
20230213T0900,0.0
20230213T1000,0.0
20230213T1100,0.0
20230213T1200,0.0
20230213T1300,0.0
20230213T1400,0.0
20230213T1500,0.0
20230213T1600,0.0
20230213T1700,0.0
20230213T1800,0.0
20230213T1900,0.0
20230213T2000,0.0
20230213T2100,0.0
20230213T2200,0.0
20230213T2300,0.0
20230214T0000,0.0
20230214T0100,0.0
20230214T0200,0.0
20230214T0300,0.0
20230214T0400,0.0
20230214T0500,0.0
20230214T0600,0.0
20230214T0700,0.0
20230214T0800,0.0
